key,id,name,kana,type,sort_level,grade,group_join,permit,del
nckimport,280,札幌支店_業務第一班,札幌支店_業務第一班,1,237,,2,0,0
nckimport,279,札幌支店_総務班,札幌支店_総務班,1,236,,2,0,0
nckimport,277,関東業務部_長野推進室,関東業務部_長野推進室,1,235,,2,0,0
nckimport,276,関東業務部_甲府推進室,関東業務部_甲府推進室,1,234,,2,0,0
nckimport,275,関東業務部_水戸推進室,関東業務部_水戸推進室,1,233,,2,0,0
nckimport,274,関東業務部_JFマリンバンク班,関東業務部_JFまりんばんく班,1,232,,2,0,0
nckimport,273,関東業務部_農林水産環境事業第二班,関東業務部_農林水産環境事業第二班,1,231,,2,0,0
nckimport,272,関東業務部_農林水産環境事業第一班,関東業務部_農林水産環境事業第一班,1,230,,2,0,0
nckimport,271,関東業務部_JAバンク班,関東業務部_JAばんく班,1,229,,2,0,0
nckimport,270,関東業務部_総務班,関東業務部_総務班,1,228,,2,0,0
nckimport,268,外管部_外為業務班,外管部_外為業務班,1,227,,2,0,0
nckimport,267,外管部_コルレス・送金班,外管部_こるれす・送金班,1,226,,2,0,0
nckimport,266,外管部_外為企画班,外管部_外為企画班,1,225,,2,0,0
nckimport,264,本業部_窓口事務班,本業部_窓口事務班,1,224,,2,0,0
nckimport,263,本業部_出納手形班,本業部_出納手形班,1,223,,2,0,0
nckimport,262,本業部_為替班,本業部_為替班,1,222,,2,0,0
nckimport,261,本業部_預金班,本業部_預金班,1,221,,2,0,0
nckimport,260,本業部_事務班,本業部_事務班,1,220,,2,0,0
nckimport,255,農環事業部_エコフードビジネス推進室,農環事業部_えこふーどびじねす推進室,1,217,,2,0,0
nckimport,254,農環事業部_全農班,農環事業部_全農班,1,216,,2,0,0
nckimport,252,営五部_総合事務班,営五部_総合事務班,1,215,,2,0,0
nckimport,251,営五部_第五班,営五部_第五班,1,214,,2,0,0
nckimport,250,営五部_第四班,営五部_第四班,1,213,,2,0,0
nckimport,249,営五部_第三班,営五部_第三班,1,212,,2,0,0
